name,address,city,state,longitude,latitude,phone
Vallee du Parc,"10000 Blvd de la Vallee Du Parc, Grand Mere,QC",Grand Mere,QC ,-72.797868,46.614335,(800) 363-1639
Vorlage Ski Resort,"65 Burnside Rd, Wakefield,QC",Wakefield,QC ,-75.933905,45.645236,(819) 459-2301
Mount Sima,"Mount Sima near Whitehorse,YT",Whitehorse,YT ,-135.044926,60.611935,(867) 667-SKIS
Cloudmont Ski Resort,"PO Box 435, Mentone,AL",Mentone,AL ,-85.603281,34.536767,(256) 634-4344
Alpenglow,"Artic Valley Rd, Fort Richardson,AK",Fort Richardson,AK ,-149.534853,61.246668,(907) 428-1208
Alyeska,"PO Box 249, Girdwood,AK",Girdwood,AK ,-149.112157,60.959812,(907) 754-2285
Eaglecrest,"3000 Fish Creek Road, Juneau,AK",Juneau,AK ,-134.515115,58.276479,(907) 586-5284
Hillberg Ski Area,"Elemendorf AFB,AK",Elmendorf AFB,AK ,-149.820987,61.275743,(907) 552-4838
Moose Mountain,"Fairbanks,AK",Fairbanks,AK ,-147.990862,64.93989,(907) 479-4732
Mount Eyak,"Ski Hill Rd, Cordova,AK",Cordova,AK ,-145.75042,60.549244,(907) 424-7766
Mt Aurora Skiland,"2315 Skiland Road, Fairbanks,AK",Fairbanks,AK ,-147.412253,65.045313,(907) 456-SNOW
Salmonberry Ridge Ski Area,"Salmonberry Ridge Ski Area,AK",Valdez,AK ,-111.705515,35.330535,(907) 424-7766
The Hilltop Ski Area,"7015 Abbott Road, Anchorage,AK",Anchorage,AK ,-149.745475,61.14092,(907) 346-2167
Arizona Snowbowl,"PO Box 40, Flagstaff,AZ",Flagstaff,AZ ,-111.705515,35.330535,(928) 779-1951
Elk Ridge Ski Area,"2467 S Perkinsville Rd, Williams,AZ",Williams,AZ ,-112.193157,35.215626,(928) 814-5038
Mount Lemmon Ski Valley,"PO Box 40, Flagstaff,AZ",Tucson,AZ ,-110.780941,32.448241,(520) 576-1400
Sunrise Park Resort,"PO Box 117, Greer,AZ",Greer,AZ ,-109.564995,33.977809,(520) 735-7669
Alpine Meadows Ski Resort,"2600 Alpine Meadows Rd, Tahoe City,CA",Tahoe City,CA ,-116.888354,34.236022,(530) 583-4232
Alta Sierra,"PO Box 82562, Bakersfield,CA",Shirley Meadows,CA ,-118.56044,35.711263,(760) 376-4186
Badger Pass,"Yosemite National Park,CA",Yosemite National Park,CA ,-122.203099,41.319932,(209) 372-8430
Bear Valley Mountain Resort,"Hwy 4 @ Hwy 207, Bear Valley,CA",Bear Valley,CA ,-120.041248,38.462703,(209) 753-2301
Big Bear Mountain Resort,"880 Summit Blvd, Big Bear Lake,CA",Big Bear Lake,CA ,-116.91144,34.2437,(909) 866-5766
Boreal Mountain Resort,"PO Box 39, Truckee,CA",Truckee,CA ,-120.34823,39.338578,(530) 426-3666
Buckhorn Ski Club,"Buckhorn Ski Club,CA",Buckhorn Ski Club,CA,-117.921001,34.346598,(714) 537-5999
Coppervale Ski Area,"478/200 Hwy 139, Susanville,CA",Chester,CA ,-121.288222,40.290885,(530) 257-9965
Dodge Ridge,"1 Dodge Ridge Rd, Pinecrest,CA",Pinecrest,CA ,-119.955824,38.190047,(209) 965-3474
Donner Ski Ranch,"19320 Donner Pass Rd, Norden,CA",Norden,CA ,-120.330321,39.317659,(530) 426-3635
Granlibakken,"725 Granlibakken Rd, Tahoe City,CA",Tahoe City,CA ,-120.154396,39.1558,(877) 552-6301
Heavenly Mountain Resort,"Corner of Wildwood and Saddle, South Lake Tahoe,CA",South Lake Tahoe,CA ,-119.940125,38.935803,(877) 552-6301
Homewood Ski Resort,"Corner of Wildwood and Saddle, South Lake Tahoe,CA",Homewood,CA ,-120.160496,39.086143,(877) 552-6301
June Mountain,"20 miles north of Mammoth Lakes,CA",June Lake,CA ,-119.090822,37.768463,(760) 648-7733
Kirkwood Mountain Resort,"1501 Kirkwood Meadows Dr, Kirkwood,CA",Kirkwood,CA ,-120.07163,38.686207,(209) 258-6000
Mammoth Mountain Ski Area,"1 Minaret Rd, Mammoth Lakes,CA",Mammoth Lakes,CA ,-119.008042,37.649169,(760) 934-2571
Montecito Sequoia Resort,"2225 Grant Rd, Los Altos,CA",Montecito Sequoia Resort,CA ,-118.871719,36.694196,(800) 227-9900
Mount Shasta Ski Park,Hwy 89 east of I 5,Mt Shasta,CA ,-122.20371,41.320235,(530) 926-8610
Mount Waterman,"954 Foothill Blvd, La Canada,CA",La Canada,CA ,-118.199929,34.204014,(530) 926-8610
Mountain High,"24510 State Hwy 2, Wrightwood,CA",Wrightwood,CA ,-117.593854,34.38322,(760) 249-5808
Mt Baldy,"6700 Mt Baldy Rd, Mt Baldy,CA",Mt Baldy,CA ,-117.623404,34.269926,(909) 981-3344
Mt Rose Ski Tahoe,"22222 Mt Rose Hwy, Reno,CA",Reno,CA ,-119.885338,39.329518,(800) SKI-ROSE
Northstar at Tahoe,"100 Northstar Dr, Truckee,CA",Truckee,CA ,-120.122588,39.275891,(530) 562-1010
Palisades Tahoe,"1960 Squaw Valley Rd, Olympic Valley,CA",Olympic Valley,CA ,-120.23534,39.197543,(530) 583-6985
Plumas Eureka Bowl,"Jonesville Rd [CR A 14], Eureka State Park,CA",Eureka State Park,CA ,-120.697464,39.765177,(530) 283-6345
Shirley Meadows Ski Area,"56700 Rancheria Rd, Wofford Heights,CA",Wofford Heights,CA ,-118.560256,35.711494,(760) 376-4186
Sierra at Tahoe,"59265 Hwy 168, Lakeshore,CA",Twin Bridges,CA ,-120.080713,38.80078,(530) 659-7453
Sierra Summit,"59265 Hwy 168, Lakeshore,CA",Lakeshore,CA ,-119.153706,37.236429,(559) 233-2500
Snow Summit,"880 Summit Blvd, Big Bear Lake,CA",Snow Summit,CA ,-116.888738,34.236765,(909) 866-5766
Snow Valley Ski Resort,"35100 Hwy 18, Running Springs,CA",Running Springs,CA ,-117.03716,34.22489,(909) 867-2751
Snowcrest,"7930 Mt Baldy Rd, Mt Baldy,CA",Snowcrest,CA ,-116.87462,34.24069,(909) 985-3012
Soda Springs,"PO Box 39, Truckee,CA",Soda Springs,CA ,-120.1822,39.3282,(530) 426-3901
Stover Mountain,"Intersection of Hwys 36 and 89, Chester,CA",Chester,CA ,-121.288678,40.290906,(530) 258-3987
Sugar Bowl,"629 Sugar Bowl Rd, Norden,CA",Norden,CA ,-120.333237,39.305333,(530) 426-9000
Tahoe Donner Downhill,"11509 Northwoods Blvd, Truckee,CA",Truckee,CA ,-120.257215,39.354906,(530) 587-9444
Arapahoe Basin Ski Area,"28194 US Hwy 6, Dillon,CO",Dillon,CO ,-105.872179,39.642584,(888) 272-7246
Arapahoe Basin Ski Area,"Near Loveland,CO",Keystone,CO ,-106.11011,39.61679,(970) 496-7077
Aspen Highlands,"PO Box 1248, Aspen,CO",Aspen,CO ,-106.85757,39.18243,(970) 925-1220
Aspen Mountain,"PO Box 1248, Aspen,CO",Aspen,CO ,-106.82512,39.16761,(970) 925-1220
Aspen Snowmass,"PO Box 1248, Aspen,CO",Aspen,CO ,-106.82281,39.19143,(970) 925-1220
Beaver Creek Resort,"PO Box 1595, Avon,CO",Vail,CO ,-106.51681,39.60493,(970) 476-5601
Breckenridge Ski Resort,"PO Box 1058, Breckenridge,CO",Summit County,CO ,-106.04719,39.48221,(970) 453-5000
Buttermilk,"PO Box 1248, Aspen,CO",Aspen,CO ,-106.87067,39.1988,(970) 925-1220
Copper Mountain Resort,"209 Ten Mile Circle, Copper Mountain,CO",Summit County,CO ,-106.150827,39.50148,(970) 968-2882
Crested Butte Mountain Resort,"12 Snowmass Rd, Mt Crested Butte,CO",Gunnison County,CO ,-106.98576,38.87017,(970) 349-2333
Cuchara Mountain Resort,"946 Panadero Ave, Cuchara,CO",Cuchara,CO ,-105.124642,37.349555,(719) 742-3163
Durango Mountain Resort,"1 Skier Place, Durango,CO",Durango,CO ,-107.81408,37.61299,(800) 982-6103
Echo Mountain Park,"19285  Hwy 103, Idaho Springs,CO",Idaho Springs,CO ,-105.518603,39.684449,(303) 325-7347
Eldora Mountain Resort,"PO Box 1697 , Nederland,CO",Boulder,CO ,-105.58489,39.93775,(303) 440-8700
Hesperus Ski Area,"US Hwy 160, Hesperus,CO",Hesperus,CO ,-108.054869,37.299129,(970) 259-3711
Howelsen Hill Ski Area,"137 10th St, Steamboat Springs,CO",Steamboat Springs,CO ,-106.83784,40.48348,(970) 879-2043
Kendall Mountain,"1 Kendall Pl, Silverton,CO",Silverton,CO ,-107.656401,37.811222,(970) 387-182
Keystone Resort,"PO Box 38, Keystone,CO",Keystone,CO ,-106.9613,40.29954,(970) 496-2316
Loveland Ski Area,"I 70 Exit 216, Georgetown,CO",Georgetown,CO ,-105.70039,39.70618,(303) 571-5580
Monarch,"23715 W Hwy 50, Monarch,CO",Durango,CO ,-106.331612,38.512811,(888) 996-SNOW
Powderhorn,"48338 Powderhorn Rd, Mesa,CO",Mesa,CO ,-108.151537,39.069956,(970) 268-5700
Silverton Mountain,"PO Box 654, Silverton,CO",Silverton,CO ,-107.67891,37.76241,(970) 387-5706
Ski Cooper,"US Rt 24, Leadville,CO",Leadville,CO ,-106.301963,39.360301,(719) 486-2277
Snowmass,"PO Box 896, Leadville,CO",Aspen,CO ,-106.98486,39.32853,(970) 925-1220
SolVista,"1000 Village Rd, Granby,CO",Granby,CO ,-105.899775,40.048809,(888) 850-4615
Steamboat Ski Resort,"2305 Mount Werner Circle, Steamboat Springs,CO",Steamboat,CO ,-106.82659,40.48028,(970) 879-6111
Sunlight,"10901 CR 117, Glenwood Springs,CO",Glenwood Springs,CO ,-107.336306,39.398631,(970) 945-7491
Telluride Ski Resort,"565 Mountain Village Blvd, Telluride,CO",Telluride,CO ,-107.81087,37.93816,(866) 888-7179
Vail,"Vail,CO",Vail,CO ,-106.38263,39.64499,(970) 476-5601
Winter Park Resort,"PO Box 36, Winter Park,CO",Winter Park,CO ,-105.78428,39.91689,(800) 979-332
Wolf Creek,"PO Box 2800, Pagosa Springs,CO",Pagosa Springs,CO ,-106.793092,37.47402,(970) 264-5639
Mohawk Mountain,"46 Great Hollow Rd, West Cornwall,CT",West Cornwall,CT ,-73.315694,41.838706,(800) 895-5222
Mount Southington,"396 Mount Vernon Rd, Plantsville,CT",Plantsville,CT ,-72.924392,41.581841,(860) 628-954
Powder Ridge,"99 Powder Hill Rd, Middlefield,CT",Middlefield,CT ,-72.735277,41.50155,(860) 349-3454
Ski Sundown,"126 Ratlum Rd, New Hartford,CT",New Hartford,CT ,-72.947803,41.88501,(860) 379-7669
Woodbury Ski Area,"785 Washington Rd, Woodbury,CT",Woodbury,CT ,-73.255061,41.589993,(203) 263-2203
Bald Mountain,"Box 49, Pierce,ID",Pierce,ID ,-115.869804,46.57061,(208) 464-2311
Bogus Basin,"2600 Bogus Basin Rd, Boise,ID",Bogus Basin,ID ,-116.102617,43.764057,(208) 332-5100
Brundage Mountain Resort,"PO Box 1062, McCall,ID",McCall,ID ,-116.158689,45.002263,(800) 888-7544
Cottonwood Butte,"Box 162, Cottonwood,ID",Cottonwood,ID ,-116.465294,46.068803,(208) 962-3624
Kelly Canyon,"PO Box 3672, Ririe,ID",Kelly Canyon,ID ,-111.630251,43.646094,(208) 538-6251
Lookout Pass,"PO Box 108, Wallace,ID",Lookout Pass,ID ,-115.696683,47.455976,(208) 744-1301
Magic Mountain,"3407 N 3300 E, Kimberly,ID",Hansen,ID ,-114.285414,42.188377,(208) 423-6221
Pebble Creek,"3340 East Green Canyon Rd, Inkom,ID",Pebble Creek,ID ,-112.149063,42.770845,(208) 775-4451
Pomerelle,"PO Box 158, Albion,ID",Albion,ID ,-113.607506,42.318226,(208) 673-5555
Rotaurm,"Hailey,ID",Hailey,ID ,-114.468848,43.436577,(208) 788-2117
Schweitzer Mountain Resort,"10000 Schweitzer Mountain Rd, Sandpoint,ID",Sandpoint,ID ,-116.620869,48.364877,(208) 263-9555
Silver Mountain,"610 Bunker Ave, Kellogg,ID",Kellogg,ID ,-116.133083,47.539727,(877) 230-2193
Snowhaven,"2600 Bogus Basin Rd, Bosie,ID",Grangeville,ID ,-116.089634,45.869164,(208) 983-3866
Soldier Mountain,"PO Box 510, Fairfield,ID",Fairfield,ID ,-114.829456,43.485932,(208) 332-5100
Sun Valley,"1 Sun Valley Rd, Sun Valley,ID",Sun Valley,ID ,-114.365979,43.670827,(208) 622-4111
Tamarack Resort,"2099 W Mountain Rd, Tamarack,ID",Tamarack,ID ,-116.114482,44.672817,(877) TAM-RESORT
Chestnut Mountain Resort,"8700 W Chestnut Rd, Galena,IL",Galena,IL ,-90.393124,42.318683,(815) 777-1320
Four Lakes Village Ski Resort,"5790 Forest View Rd, Lisle,IL",Lisle,IL ,-88.080465,41.780121,(630) 964-2551
Plumtree Ski Area,"3 200 Association Dr, Lake Carroll,IL",Lake Carroll,IL ,-89.844144,42.16925,
Raging Buffalo Snowboard Park,"Rt 31, Algonquin,IL",Algonquin,IL ,-88.294974,42.153675,(800) 895-5222
Ski Snowstar,"9500 126th St, Andalusia,IL",Andalusia,IL ,-90.744269,41.425027,(800) 383-4002
Villa Olivia,"1401 W Lake St, Bartlett,IL",Bartlett,IL ,-88.219036,42.012555,(630) 289-SNOW
Paoli Peaks,"2798 W CR 25 S, Paoli,IN",Paoli,IN ,-86.51207,38.555194,(812) 723-4696
Perfect North Slopes,"19074 Perfect Lane, Lawrenceburg,IN",Lawrenceburg,IN ,-84.886602,39.148055,(513) 381-7517
Pines Peak Family Ski Resort,"674 North Meridian, Valparaiso,IN",Valparaiso,IN ,-87.06661,41.531242,(219) 477-5993
Mount Crescent Ski Resort,"PO Box 69, Crescent,I|A",Honey Creek,IA ,-95.85587,41.391088,(712) 545-3850
Riverside Hills Ski Resort,"Hwy 4 South, Estherville,IA",Estherville,IA ,-94.824697,43.382114,
Seven Oaks Recreation Area,"1086 222nd Dr, Boone,IA",Boone,IA ,-93.95383,42.031167,(515) 432-9457
Sleepy Hollow,"4051 Dean Ave, Des Moines,IA",Des Moines,IA ,-93.533128,41.589668,(515) 262-4100
Sundown Mountain,"16991 Ashbury, Dubuque,IA",Dubuque,IA ,-90.819997,42.515569,(563) 556-6676
Sunset Ski Area,"1066 500Th Ave, Montezuma,IA",Montezuma,IA ,-92.573246,41.566535,(641) 623-3456
Baker Mountain,"Rt 201, Bingham,ME",Bingham,ME ,-69.905586,45.084923,(207) 672-5580
Bauneg Beg Ski Trails,"North Berwick,ME",Sanford,ME ,-70.781452,43.394462,
Big Rock,"Graves Rd, Mars Hill,ME",Mars Hill,ME ,-67.829373,46.522211,(207) 425-6711
Big Squaw Mounatin,"Rt 15, Greenville,ME",Greenville,ME ,-69.605373,45.424096,(207) 695-1000
Black Mountain of Maine,"39 Glover Re, Rumford,ME",Rumford,ME ,-70.61399,44.577017,(207) 364-8977
Camden Snowbowl,"PO Box 1207, Camden,ME",Camden,ME ,-69.133541,44.21648,(207) 236-3438
Eaton Mountain,"89 Lambert Rd, Skowhegan,ME",Skowhegan,ME ,-69.61817,44.768748,(207) 474-2666
Kents Hill,"1066 500th Ave, Montezuma,ME",Kents Hill,ME ,-70.000145,44.404793,(207) 685-4914
Lost Valley,"200 Lost Valley Rd, Auburn,ME",Auburn,ME ,-70.280479,44.134446,(207) 784-1561
Mount Abram,"308 Howe Hill Rd, Greenwood,ME",Greenwood,ME ,-70.70624,44.380473,(207) 875-5000
Mount Jefferson Ski Area,"Lee,ME",Lee,ME ,-68.28249,45.358749,(207) 738-2377
New Hermon Mountain,"Box 3347, Hermon,ME",Hermon,ME ,-68.95676,44.78112,(207) 848-5192
Pinnicle Ski Club,"Waverly Ave, Pittsfield,ME",Pittsfield,ME ,-69.381794,44.793285,(207) 487-6908
Saddleback,"976 Saddleback Mountain Rd, Rangeley,ME",Rangeley,ME ,-70.52779,44.945903,(207) 864-5671
Seacoast Snow Park,"Rt 302, North Windham,ME",Windham,ME ,-70.452172,43.853009,(207) 892-5952
Shawnee Peak,"119 Mountain Rd, Bridgton,ME",Bridgton,ME ,-70.814804,44.058671,(207) 647-8444
Sugarloaf,"5092 Access Rd, Carrabassett Valley,ME",Carrabassett Valley,ME ,-70.310565,45.054858,(207) 237-2000
Sunday River,"PO Box 450, Bethel,ME",Bethel,ME ,-70.855006,44.473605,(207) 824-3000
Titcomb Mountain,"PO Box 138, West Farmington,ME",Farmington,ME ,-70.170467,44.649907,(207) 778-9031
Wisp at Deep Creek Mountain Resort,"296 Marsh Hill Rd, McHenry,MD",McHenry,MD ,-79.371303,39.54692,(301) 387-4911
Berkshire East,"PO Box 727 South River Rd, Charlemont,MA",Charlemont,MA ,-72.877808,42.622596,(413) 339-6617
Blandford,"41 Nye Brook Rd, Blandford,MA",Blandford,MA ,-72.910449,42.195299,(413) 848-2860
Blue Hills,"4001 Washington St, Canton,MA",Saint Canton,MA ,-71.119179,42.215439,(781) 828-8171
Bousquet,"101 Dan Fox Drive, Pittsfield,MA",Pittsfield,MA ,-73.276427,42.419306,(413) 442-8316
Jericho Ski Area,"591 Brigham St, Marlborough,MA",Marlborough,MA ,-71.559049,42.329755,(508) 460-3718
Jiminy Peak,"37 Corey Rd, Hancock,MA",Hancock,MA ,-73.290032,42.555702,(413) 738-5500
Mount Greylock Ski Club,"285 Roaring Brook Rd, Williamstown,MA",South Williamstown,MA ,-73.214398,42.634315,(413) 445-7887
